order_id,customer_id,purchase_timestamp,delivered_customer_date
00010242fe8c5a6d1ba2dd792cb16214,871766c5855e863f6eccc05f988b23cb,2017-09-13,2017-09-20
00018f77f2f0320c557190d7a144bdd3,eb28e67c4c0b83846050ddfb8a35d051,2017-04-26,2017-05-12
00042b26cf59d7ce69dfabb4e55b4fd9,64b576fb70d441e8f1b2d7d446e483c5,2017-02-04,2017-03-01
00048cc3ae777c65dbb7d2a0634bc1ea,85c835d128beae5b4ce8602c491bf385,2017-05-15,2017-05-22
00054e8431b9d7675808bcb819fb4a32,635d9ac1680f03288e72ada3a1035803,2017-12-10,2017-12-18
000c3e6612759851cc3cbb4b83257986,f5f088001070650f9e9a8cd773621f35,2017-08-12,2017-08-19
000e906b789b55f64edcb1f84030f90d,3588484a539617d91500764822230fb6,2017-11-21,2017-12-09
0010b2e5201cc5f1ae7e9c6cc8f5bd00,e883f26917e2095c439f70c2cf8c914b,2017-09-11,2017-09-23
00119ff934e539cf26f92b9ef0cdfed8,13df7b623839b4edc579ee40279d57c8,2017-08-06,2017-08-16
00125cb692d04887809806618a2a145f,7ac26eac431c6848694a2de6f0327524,2017-03-23,2017-04-07
0013503b13da1eac686219390b7d641b,1544f85dff3797491b60f2a5241d14c1,2017-12-05,2017-12-20
00137e170939bba5a3134e2386413108,38c3bc2d6df03905e3e8d3d5b079acf4,2017-11-24,2017-12-11
00143d0f86d6fbd9f9b38ab440ac16f5,bb8a37225e0279ac8a274c9765617eaf,2017-10-16,2017-10-27
0014ae671de39511f7575066200733b7,8e5a8d9363eb6296154b65750c8702ca,2017-05-22,2017-06-07
0016dfedd97fc2950e388d2971d718c7,33febb33a42a35f5826a22584b127f9d,2017-04-28,2017-05-22
0017afd5076e074a48f1f1a4c7bac9c5,98758d88bf4b8eef1372ddee45d63178,2017-04-06,2017-05-23
001ab0a7578dd66cd4b0a71f5b6e1e41,d1f24d1d504e27bee13b415e40daeab0,2017-12-27,2018-01-17
001c85b5f68d2be0cb0797afc9e8ce9a,55a269f324455e78349e7b9b7e7e5911,2017-11-24,2017-12-22
001d8f0e34a38c37f7dba2a37d4eba8b,870a0bdc769f9a7870309036740e79ea,2017-05-14,2017-05-26
001daeb0eddc45b999bad0801ad9d273,dc5aa19797b8fb7a4929ad109fb25553,2017-05-17,2017-06-08
001dbc16dc51075e987543d23a0507c7,c6f624cf0e9908fe310d59a80350bea0,2017-01-28,2017-02-13
001e7ba991be1b19605ca0316e7130f9,100bf2da12cc1fd1b556507aa87bf3a1,2017-03-18,2017-03-28
0020262c8a370bd5a174ea6a2a267321,484689f7961df6e755f6373221aff64d,2017-11-28,2017-12-02
0020a222f55eb79a372d0efee3cca688,87ae4c644c15d9c6b6f826dfec33b340,2017-08-15,2017-08-24
