order_id,delivery_time,order_item_id,product_id,seller_id,price,sales_value,freight_value
ec7a019261fce44180373d45b442d78f,6.0,1,f5d8f4fbc70ca2a0038b9a0010ed5cb0,48efc9d94a9834137efd9ea76b065a38,10.9,10.9,8.72
bf44408de1d05eef70fb026ba64a90ea,6.0,1,1a2d84c11fbc7b3d7c0a10206c085ce5,b76dba6c951ab00dc4edf0a1aa88037e,10.49,10.49,10.96
e1fe072ef14b519af1f0a8ed997c1301,7.0,1,743801b34cc44776de511ba8eff778e2,48efc9d94a9834137efd9ea76b065a38,9.9,9.9,14.52
f53b39c6c91ce86717c15d8e4e5da0c2,4.0,1,913580fde3e72c3b3e4ce0b79963bee6,b76dba6c951ab00dc4edf0a1aa88037e,10.99,10.99,14.11
157ec3dc3f38cdbd2706bd216edfe8fb,7.0,1,27066995b777fb84dbcb25961fd6d007,46dc3b2cc0980fb8ec44634e21d2718e,159.99,159.99,15.29
765442de6466c0bb079c22b8b20e0eab,4.0,1,8a330ba3cd34d650c45bce0fc21771ac,46dc3b2cc0980fb8ec44634e21d2718e,349.99,349.99,17.66
9021fdebb45ac827a6033d6969d5c2e3,8.0,1,49e142d8098b20ff2dc9ec73cdd5afec,8f119a0aee85c0c8fc534629734e94fd,34.9,34.9,16.05
e6db6e9529fecbe14cd05dd349816656,7.0,1,06ead9c0b05b368667d858c09148af03,b2ba3715d723d245138f291a6fe42594,109.9,109.9,14.94
f2dd5f15184c73c0d45c02941c7c23d1,8.0,1,b931645cdc2d9868f01544e8db63f5ab,b14db04aa7881970e83ffa9426897925,65.0,65.0,26.92
09f58c00f941827ab206de7796785e44,11.0,1,55ba658d5c2f0b1f118f98c36fe3fa04,48efc9d94a9834137efd9ea76b065a38,8.9,8.9,8.72
0b1e73fa546894ad7310916b480de067,5.0,1,4a90b44b456e79e7a33435fdd36e551f,c9a06ece156bb057372c68718ec8909b,380.0,380.0,39.06
0bda8164c1a12b6a388ebec8559ee287,11.0,1,036bcd084feae22f3a997f5080ec30df,48efc9d94a9834137efd9ea76b065a38,6.9,6.9,8.72
1b694ef5b28d3e949a4f0ffeb2c9fcd6,11.0,1,e500a9395078ba5b59387db0dbee0063,48efc9d94a9834137efd9ea76b065a38,9.9,9.9,8.72
38bcb524e1c38c2c1b60600a80fc8999,11.0,1,680cc8535be7cc69544238c1d6a83fe8,48efc9d94a9834137efd9ea76b065a38,2.9,2.9,8.72
3ce4038922670fead496aeae61a8a393,11.0,1,7ead55b1f52de17d6dac82001470b2a2,48efc9d94a9834137efd9ea76b065a38,10.9,10.9,8.72
40599d3d28b75746952ded75566637b9,11.0,1,baddee1245c9736a49167f66e0912b0d,48efc9d94a9834137efd9ea76b065a38,11.9,11.9,8.72
747996a66f5aa711deb8ae58f5ae46a0,11.0,1,2797d3826d386bfda4f347a378b89f4d,48efc9d94a9834137efd9ea76b065a38,9.9,9.9,8.72
7a18a504c1a4b32d883e68de2e1a7db0,11.0,1,c0d4027067afcf9c1697cce981b8fed6,48efc9d94a9834137efd9ea76b065a38,7.9,7.9,8.72
c96209cd1d43d071d3bdf48d299b7aa5,11.0,1,bc33268e0ab8b9c13207af78f8a62b75,48efc9d94a9834137efd9ea76b065a38,11.9,11.9,8.72
